date,description,amount,category,type,recurring
2026-01-01,Monthly Salary,3500.00,-,income,1
2026-01-05,Grocery Store,84.50,Food,expense,0
2026-01-08,Netflix Subscription,15.99,Entertainment,expense,1
2026-01-10,Electric Bill,72.00,Utilities,expense,1
2026-01-15,Restaurant Dinner,45.00,Dining,expense,0
2026-01-20,Gas Station,60.00,Transport,expense,0
2026-01-22,Coffee Shop,12.50,Dining,expense,0
2026-01-28,Gym Membership,35.00,Health,expense,1
2026-02-01,Monthly Salary,3500.00,-,income,1
2026-02-04,Grocery Store,91.20,Food,expense,0
2026-02-07,Online Shopping,99.00,Shopping,expense,0
2026-02-12,Restaurant Dinner,38.00,Dining,expense,0
2026-02-14,Electric Bill,68.00,Utilities,expense,1
2026-02-18,Gas Station,55.00,Transport,expense,0
2026-02-20,Coffee Shop,9.75,Dining,expense,0
2026-02-25,Gym Membership,35.00,Health,expense,1
2026-03-01,Monthly Salary,3500.00,-,income,1
2026-03-03,Grocery Store,78.30,Food,expense,0
2026-03-05,Netflix Subscription,15.99,Entertainment,expense,1
2026-03-08,Coffee Shop,11.50,Dining,expense,0
2026-03-10,Electric Bill,74.00,Utilities,expense,1
2026-03-14,Online Shopping,149.00,Shopping,expense,0
2026-03-17,Restaurant Dinner,62.00,Dining,expense,0
2026-03-20,Gas Station,58.50,Transport,expense,0
2026-03-25,Gym Membership,35.00,Health,expense,1
